Time,Mem,CPU,Labels,Annotations
11:28:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:28:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:28:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:29:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:29:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:29:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:30:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:30:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:30:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:31:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:31:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:31:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:32:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:32:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:32:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:33:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:33:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:33:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:34:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:34:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:34:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:35:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:35:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:35:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:36:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:36:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:36:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:37:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:37:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:37:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:38:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:38:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:38:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:39:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:39:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:39:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:40:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:40:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:40:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:41:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:41:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:41:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:42:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:42:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:42:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:43:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:43:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:43:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:44:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:44:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:44:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:45:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:45:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:45:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:46:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:46:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:46:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:47:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:47:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:47:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:48:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
