Date,Time,Pid,Address,Permission,Offset,Device,Inode,Pathname
2022-01-31,20:21:01,7389,2b65b05e7000-2b65b07e6000,---p,00001000,fd:00,9381813,['/usr/lib64/slurm/acct_gather_filesystem_none.so']
2022-01-31,20:21:01,7389,2b65b07e6000-2b65b07e7000,r--p,00000000,fd:00,9381813,['/usr/lib64/slurm/acct_gather_filesystem_none.so']
2022-01-31,20:21:01,7389,2b65b07e7000-2b65b07e8000,rw-p,00001000,fd:00,9381813,['/usr/lib64/slurm/acct_gather_filesystem_none.so']
2022-01-31,20:21:01,7389,2b65b07e8000-2b65b07ea000,r-xp,00000000,fd:00,9381658,['/usr/lib64/slurm/switch_none.so']
2022-01-31,20:21:01,7389,2b65b07ea000-2b65b09ea000,---p,00002000,fd:00,9381658,['/usr/lib64/slurm/switch_none.so']
2022-01-31,20:21:01,7389,2b65b09ea000-2b65b09eb000,r--p,00002000,fd:00,9381658,['/usr/lib64/slurm/switch_none.so']
2022-01-31,20:21:01,7389,2b65b09eb000-2b65b09ec000,rw-p,00003000,fd:00,9381658,['/usr/lib64/slurm/switch_none.so']
2022-01-31,20:21:01,7389,2b65b09ec000-2b65b09ee000,r-xp,00000000,fd:00,9381843,['/usr/lib64/slurm/jobacct_gather_none.so']
2022-01-31,20:21:01,7389,2b65b09ee000-2b65b0bed000,---p,00002000,fd:00,9381843,['/usr/lib64/slurm/jobacct_gather_none.so']
2022-01-31,20:21:01,7389,2b65b0bed000-2b65b0bee000,r--p,00001000,fd:00,9381843,['/usr/lib64/slurm/jobacct_gather_none.so']
2022-01-31,20:21:01,7389,2b65b0bee000-2b65b0bef000,rw-p,00002000,fd:00,9381843,['/usr/lib64/slurm/jobacct_gather_none.so']
2022-01-31,20:21:01,7389,2b65b0bef000-2b65b0bf0000,---p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65b0bf0000-2b65b0cf0000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65b0cf0000-2b65b0cf1000,---p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65b0cf1000-2b65b0df1000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65b0df1000-2b65b0df2000,r-xp,00000000,fd:00,9381823,['/usr/lib64/slurm/core_spec_none.so']
2022-01-31,20:21:01,7389,2b65b0df2000-2b65b0ff1000,---p,00001000,fd:00,9381823,['/usr/lib64/slurm/core_spec_none.so']
2022-01-31,20:21:01,7389,2b65b0ff1000-2b65b0ff2000,r--p,00000000,fd:00,9381823,['/usr/lib64/slurm/core_spec_none.so']
2022-01-31,20:21:01,7389,2b65b0ff2000-2b65b0ff3000,rw-p,00001000,fd:00,9381823,['/usr/lib64/slurm/core_spec_none.so']
2022-01-31,20:21:01,7389,2b65b0ff3000-2b65b0ff6000,r-xp,00000000,fd:00,9381643,['/usr/lib64/slurm/proctrack_cgroup.so']
2022-01-31,20:21:01,7389,2b65b0ff6000-2b65b11f5000,---p,00003000,fd:00,9381643,['/usr/lib64/slurm/proctrack_cgroup.so']
2022-01-31,20:21:01,7389,2b65b11f5000-2b65b11f6000,r--p,00002000,fd:00,9381643,['/usr/lib64/slurm/proctrack_cgroup.so']
2022-01-31,20:21:01,7389,2b65b11f6000-2b65b11f7000,rw-p,00003000,fd:00,9381643,['/usr/lib64/slurm/proctrack_cgroup.so']
2022-01-31,20:21:01,7389,2b65b11f7000-2b65b11fa000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65b11fa000-2b65b11fc000,r-xp,00000000,fd:00,9381662,['/usr/lib64/slurm/task_none.so']
2022-01-31,20:21:01,7389,2b65b11fc000-2b65b13fb000,---p,00002000,fd:00,9381662,['/usr/lib64/slurm/task_none.so']
2022-01-31,20:21:01,7389,2b65b13fb000-2b65b13fc000,r--p,00001000,fd:00,9381662,['/usr/lib64/slurm/task_none.so']
2022-01-31,20:21:01,7389,2b65b13fc000-2b65b13fd000,rw-p,00002000,fd:00,9381662,['/usr/lib64/slurm/task_none.so']
2022-01-31,20:21:01,7389,2b65b13fd000-2b65b13ff000,r-xp,00000000,fd:00,9381824,['/usr/lib64/slurm/cred_munge.so']
2022-01-31,20:21:01,7389,2b65b13ff000-2b65b15fe000,---p,00002000,fd:00,9381824,['/usr/lib64/slurm/cred_munge.so']
2022-01-31,20:21:01,7389,2b65b15fe000-2b65b15ff000,r--p,00001000,fd:00,9381824,['/usr/lib64/slurm/cred_munge.so']
2022-01-31,20:21:01,7389,2b65b15ff000-2b65b1600000,rw-p,00002000,fd:00,9381824,['/usr/lib64/slurm/cred_munge.so']
2022-01-31,20:21:01,7389,2b65b1600000-2b65b1601000,r-xp,00000000,fd:00,9381834,['/usr/lib64/slurm/job_container_none.so']
2022-01-31,20:21:01,7389,2b65b1601000-2b65b1800000,---p,00001000,fd:00,9381834,['/usr/lib64/slurm/job_container_none.so']
2022-01-31,20:21:01,7389,2b65b1800000-2b65b1801000,r--p,00000000,fd:00,9381834,['/usr/lib64/slurm/job_container_none.so']
2022-01-31,20:21:01,7389,2b65b1801000-2b65b1802000,rw-p,00001000,fd:00,9381834,['/usr/lib64/slurm/job_container_none.so']
2022-01-31,20:21:01,7389,2b65b4000000-2b65b4021000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65b4021000-2b65b8000000,---p,00000000,00:00,0,
2022-01-31,20:21:01,7389,7fff400f0000-7fff40111000,rw-p,00000000,00:00,0,['[stack]']
2022-01-31,20:21:01,7389,7fff401c8000-7fff401ca000,r-xp,00000000,00:00,0,['[vdso]']
2022-01-31,20:21:01,7389,ffffffffff600000-ffffffffff601000,r-xp,00000000,00:00,0,['[vsyscall]']
2022-01-31,20:21:01,7393,00400000-004de000,r-xp,00000000,fd:00,12584435,['/usr/bin/bash']
2022-01-31,20:21:01,7393,006dd000-006de000,r--p,000dd000,fd:00,12584435,['/usr/bin/bash']
2022-01-31,20:21:01,7393,006de000-006e7000,rw-p,000de000,fd:00,12584435,['/usr/bin/bash']
2022-01-31,20:21:01,7393,006e7000-006ed000,rw-p,00000000,00:00,0,
